id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
11114,UgwBePzgfmY-xr04NIl4AaABAg,bt8OMTu1a7Q,"Akil Bonner",UCVm2LoGxFH5YTfBNThRgkSA,"put s-500s in Syria","put s-500s in Syria",0,"2018-04-16 01:52:05","2018-04-16 01:52:05",0,null
11115,UgzL_1widFNpgJKZMRx4AaABAg,bt8OMTu1a7Q,"R A",UCmcHQMPhXgEY0hWh0ol_Oaw,"Pilots need to get a shoes shining job while s-500 be in battlefield","Pilots need to get a shoes shining job while s-500 be in battlefield",0,"2018-04-15 23:39:49","2018-04-15 23:39:49",0,null
11116,UgyYMF0yuJept2JyK5N4AaABAg,bt8OMTu1a7Q,"tim stuff",UCIvl0L5FjPzljTJH8HAcb0g,"USA still has the largest stock pile of nuclear weapons","USA still has the largest stock pile of nuclear weapons",0,"2018-04-15 21:09:15","2018-04-15 21:09:15",0,null
11117,Ugz2tuhF0_yjpjnwyfR4AaABAg,bt8OMTu1a7Q,"agent x",UCFBV5ZaKA4BCKabUfqhiO9Q,"Couldnt keep a province in Afghanistan, outgunned in Basra and Fallujah by rag heads on mopeds and Isuzu trooper trucks, how about fighting a real army see what will happen","Couldnt keep a province in Afghanistan, outgunned in Basra and Fallujah by rag heads on mopeds and Isuzu trooper trucks, how about fighting a real army see what will happen",1,"2018-04-15 20:44:24","2018-04-15 20:44:24",0,null
11118,UgzmplvYlzjvaGVpjlF4AaABAg,bt8OMTu1a7Q,"agent x",UCFBV5ZaKA4BCKabUfqhiO9Q,"The big bully talking about his airstrikes in Syria while the ? keeps calm","The big bully talking about his airstrikes in Syria while the ? keeps calm",1,"2018-04-15 20:42:18","2018-04-15 20:42:18",0,null
11119,Ugx_hvcD6h8SDNywsMx4AaABAg,bt8OMTu1a7Q,"blue boy",UCtMIE7cdGW5N9m4AsLjf-ow,"YES ! they were superb protecting Syria, ?","YES ! they were superb protecting Syria, ?",2,"2018-04-15 16:40:47","2018-04-15 16:40:47",0,null
11120,Ugz7NLjbHV098TbMNnJ4AaABAg,bt8OMTu1a7Q,"THE MAYOR",UCrtNhyfcDuSattLDD6XFDSg,"BLA BLA BLA YOUR FULL OF SHIT THE RUSSIANS AIRCRAFT CARRIER CANT EVEN RUN UNDER ITS OWN POWER","BLA BLA BLA YOUR FULL OF SHIT THE RUSSIANS AIRCRAFT CARRIER CANT EVEN RUN UNDER ITS OWN POWER",0,"2018-04-15 07:59:22","2018-04-15 07:59:22",0,null
11121,UgxhnnIdDU4a0k-pFdR4AaABAg,bt8OMTu1a7Q,"mono hatari",UCstnEROV90Hd6ePwAhlhdlg,"IF NO COUNTER ATTACK BACK FROM RUSSIA IN SYRIA. NEXT NATO WILL CHALLENGE MORE AND MORE IN THIS WORLD","IF NO COUNTER ATTACK BACK FROM RUSSIA IN SYRIA. NEXT NATO WILL CHALLENGE MORE AND MORE IN THIS WORLD",1,"2018-04-15 07:44:03","2018-04-15 07:44:03",0,null
11122,UgwyTBKpPHAogSOIWtV4AaABAg,bt8OMTu1a7Q,"mono hatari",UCstnEROV90Hd6ePwAhlhdlg,"BRING TO SYRIA PLEASE","BRING TO SYRIA PLEASE",0,"2018-04-15 07:41:58","2018-04-15 07:42:18",0,null
11123,UgzBbNzJVDrz1mpCTjl4AaABAg,bt8OMTu1a7Q,"Morrigan Ravenchild",UCM6Y1g6aOtxZKFO7Z_ztwLA,"WAKE UP YOU IDIOTS!!  IS RUSSIA GOING TO RISK M.A.D.  FOR THE BLOODY ARABS?  NO!","WAKE UP YOU IDIOTS!!  IS RUSSIA GOING TO RISK M.A.D.  FOR THE BLOODY ARABS?  NO!",0,"2018-04-15 07:25:27","2018-04-15 07:25:27",0,null
11124,Ugwv8PjhzmCXhx6yhuh4AaABAg,bt8OMTu1a7Q,"Michael Smith",UCLI4FgOL7n_-PSNrZ2jmzDA,"Um wheres all the high tech Russian bullshit that was going to prevent any misses, and Putins instant retaliation, ? Bwahaha","Um wheres all the high tech Russian bullshit that was going to prevent any misses, and Putins instant retaliation, ? Bwahaha",0,"2018-04-15 07:23:46","2018-04-15 07:23:46",0,null
11125,Ugzs9AlSNCRyU5fUIgl4AaABAg,bt8OMTu1a7Q,"Michael Capek",UColnBU-hToMxKWZPksRujrA,"BUK, S-200, S-400, S-500, all useless crap from the past century, only useful to shoot down civilian planes.","BUK, S-200, S-400, S-500, all useless crap from the past century, only useful to shoot down civilian planes.",0,"2018-04-15 07:15:35","2018-04-15 07:15:35",0,null
11126,UgyWrKPxtEm08YI2OOZ4AaABAg,bt8OMTu1a7Q,"Michael Capek",UColnBU-hToMxKWZPksRujrA,"Russia so scared.  Zero missiles shot down.  All 104 cruise  missiles hit target.  Of course Syrian clowns and their Russian cowards and non-actors now claim that 70 or 80 missiles shot down, laughable.  All targets reduced to rubble.  Syrians started shooting their missiles into air after the raid was already over.   Syrian missiles flying high over Damascus, while attacking cruise missiles fly just above the ground.  That tells the entire story of Syrian ineptness and incompetence and the utter uselessness of Russian equipment.","Russia so scared.  Zero missiles shot down.  All 104 cruise  missiles hit target.  Of course Syrian clowns and their Russian cowards and non-actors now claim that 70 or 80 missiles shot down, laughable.  All targets reduced to rubble.  Syrians started shooting their missiles into air after the raid was already over.   Syrian missiles flying high over Damascus, while attacking cruise missiles fly just above the ground.  That tells the entire story of Syrian ineptness and incompetence and the utter uselessness of Russian equipment.",0,"2018-04-15 07:14:04","2018-04-15 07:14:04",0,null
11127,UgycoLJvtBcjDLvDJsR4AaABAg,bt8OMTu1a7Q,"NLA Kalutara",UCcHSmBvxSDNMLJiH1tg_rQA,"This is very impressive, Russia has made impressive progress. But, Russia cannot match US technological advantage. Russia also does not have the economic strength to compete one on one with the US. This will make the difference !","This is very impressive, Russia has made impressive progress. But, Russia cannot match US technological advantage. Russia also does not have the economic strength to compete one on one with the US. This will make the difference !",0,"2018-04-15 07:08:44","2018-04-15 07:08:44",0,null
11128,Ugwd4JQ11wEVThyVxqF4AaABAg,bt8OMTu1a7Q,"Richard Moloney",UCy8rw41dTeMD0kHEp6CuQ3A,"Finally, some serious power.","Finally, some serious power.",0,"2018-04-15 06:47:50","2018-04-15 06:47:50",0,null
11129,UgyWQfOUuhPhj2Catn54AaABAg,bt8OMTu1a7Q,"Randy Hutchinson",UC1Tl9I_vQoxVAyzxSU0XuuQ,"Im supposed to be scared, again??? FUCK YOU!!!","Im supposed to be scared, again??? FUCK YOU!!!",0,"2018-04-15 06:38:17","2018-04-15 06:38:17",0,null
11130,UgzQEp1qj9jzMHgph6p4AaABAg,bt8OMTu1a7Q,"Art H",UCQMUCT1MwO_546RgJZJkQ-Q,"Can’t protect against US laser weapons!! ?????????","Can’t protect against US laser weapons!! ?????????",0,"2018-04-15 05:24:07","2018-04-15 05:24:07",0,null
11131,UgwJBtMZbvRfyd8yrg94AaABAg,bt8OMTu1a7Q,"Festus Kanga",UCfOaBnZwYbST7QkYryctF7g,"SOME PEOPLE SAY THAT NO GOD. WHATS HAPPENING NEXT COMING.","SOME PEOPLE SAY THAT NO GOD. WHATS HAPPENING NEXT COMING.",0,"2018-04-15 05:21:04","2018-04-15 05:21:04",0,null
11132,Ugz-zHiYb5JpJxJDtzR4AaABAg,bt8OMTu1a7Q,"Ivan. Chernobyl.",UCXYGnT0QgpI9446_Iothz2Q,"Oh my gosh more imaginary equipment from the third world Russians, Defenders of Syria chemical warfare on women and children. No wonder the have been The Biggest Loser since.  Joseph Stalin, Vladimir Lenin and their defeat in the Cold War by the US. LOL","Oh my gosh more imaginary equipment from the third world Russians, Defenders of Syria chemical warfare on women and children. No wonder the have been The Biggest Loser since.  Joseph Stalin, Vladimir Lenin and their defeat in the Cold War by the US. LOL",1,"2018-04-15 05:04:10","2018-04-15 05:04:10",0,null
11133,Ugxy0dMbp2nqXvd9I3h4AaABAg,bt8OMTu1a7Q,"Russian Serbian Targeted Individual",UCAsDeSMMu4vcKGw56Bm2emQ,"americunts will soon not exist anymore РОССИЯ","americunts will soon not exist anymore РОССИЯ",1,"2018-04-15 04:40:11","2018-04-15 04:40:11",0,null
11134,UgyyhzsjsFzhxLbA9x14AaABAg,bt8OMTu1a7Q,"The Pale Horse",UC4ffQU1ROFbwQtOUBaaElhg,"Wow! what a lame presentation!","Wow! what a lame presentation!",0,"2018-04-15 04:36:14","2018-04-15 04:36:14",0,null
11135,Ugxyl4qOksRPRq5Kpol4AaABAg,bt8OMTu1a7Q,twaters57,UCld-viRPdg8zogUyuHvH9Aw,"The US spends over a trillion dollars a year on its killing machine. The US has thousands of missiles it can rain down on Syria Russias only chance is to take out the ships and planes firing them. Im not sure Russia alone can defeat the axis of evil (US, UK , France).","The US spends over a trillion dollars a year on its killing machine. The US has thousands of missiles it can rain down on Syria Russias only chance is to take out the ships and planes firing them. Im not sure Russia alone can defeat the axis of evil (US, UK , France).",2,"2018-04-15 04:25:27","2018-04-15 04:25:27",1,null
11136,Ugxyl4qOksRPRq5Kpol4AaABAg.8f2TizmRQzM8f2hZ67Rgdn,bt8OMTu1a7Q,"0 9",UCnTecv5ACkIsxlNRxosKiLg,"yea the usa spend trillions, and die by the Taliban, youre a retard, against russia youre still a baby. thats why you got nato.","yea the usa spend trillions, and die by the Taliban, youre a retard, against russia youre still a baby. thats why you got nato.",0,"2018-04-15 06:35:01","2018-04-15 06:35:14",0,Ugxyl4qOksRPRq5Kpol4AaABAg
11137,UgzY5NE2lM1iIr9k6JV4AaABAg,bt8OMTu1a7Q,"Bader Ralef",UCzI5AKgVLDuJ3lEClyyjxpw,"Is great Russia weak?Loll","Is great Russia weak?Loll",0,"2018-04-15 03:57:31","2018-04-15 03:57:31",0,null
11138,UgzssG2t-JzqOTCIG_x4AaABAg,bt8OMTu1a7Q,"its me223",UC1EGqauodtx8XDPJFwYAiXA,"right.  i believe Russias cartoons, russia always tells the truth.  russia didnt even try to shoot down our 105 missiles we sent over, cause they cant,  dont want to get embarrassed infront of the world....caused russia sucks in real life","right.  i believe Russias cartoons, russia always tells the truth.  russia didnt even try to shoot down our 105 missiles we sent over, cause they cant,  dont want to get embarrassed infront of the world....caused russia sucks in real life",0,"2018-04-15 03:50:58","2018-04-15 03:50:58",0,null
11139,UgytSo-7tw6sivElBDR4AaABAg,bt8OMTu1a7Q,"Michael Lester",UCEwNSFCL_3SAggeDIK78uGg,"There will only be at tomorrow if you know the Lord Jesus Christ as your personal Savior!
John 3:16...
For God so loved the world that He gave His Only Begotten Son that whosoever believes in Him should not perish but have everlasting life.
The Bible says...
If you believe in your heart and confess with your mouth is Jesus Christ the Only Begotten Son of God came in the flesh and that God raised Him from the dead you shall be saved.
So I beg you ladies and gentlemen set your pride aside repent of your sins and unbelief and ask the Lord Jesus Christ to forgive you and come into your heart and deliver you into His Holy Kingdom.
Then Thank Him,  because you probably dont have a clue about the price He paid, to give you the free gift of your salvation.
Even so, come Lord Jesus!","There will only be at tomorrow if you know the Lord Jesus Christ as your personal Savior!
John 3:16...
For God so loved the world that He gave His Only Begotten Son that whosoever believes in Him should not perish but have everlasting life.
The Bible says...
If you believe in your heart and confess with your mouth is Jesus Christ the Only Begotten Son of God came in the flesh and that God raised Him from the dead you shall be saved.
So I beg you ladies and gentlemen set your pride aside repent of your sins and unbelief and ask the Lord Jesus Christ to forgive you and come into your heart and deliver you into His Holy Kingdom.
Then Thank Him,  because you probably dont have a clue about the price He paid, to give you the free gift of your salvation.
Even so, come Lord Jesus!",1,"2018-04-15 03:28:04","2018-04-15 03:28:04",0,null
11140,UgxGwAE1hDb1nDWiSxd4AaABAg,bt8OMTu1a7Q,"Box Addict",UCP934fJzlR8E_emVhEOamFg,"Russia and China FTW","Russia and China FTW",0,"2018-04-14 23:41:48","2018-04-14 23:41:48",0,null
11141,UgzWMhJG7RUt5GxUw314AaABAg,bt8OMTu1a7Q,"Paul Charles",UCp79VLZzk7gpe9nsgLavS0Q,"GIVE ME A FUCKING BREAK...
RUSSIA HAS THREE OR FOUR NEW FIGHTERS ... LITERALLY,  RUSSIA CAN NOT AFFORD THE PRODUCTION PROCESS COSTS FOR A WAR TARGET PRODUCTION LEVEL... THIS VIDEO IS A RUSSIAN BOTT VIDEO...
GET THE HELL OUT OF YOUTUBE.COM YOU FUCKING RUSSIANS...
AMERICA IS WATCHING AND WE WILL DESTROY EVERYTHING THAT TWITCHES OR MOVES...
FIRE AND FURY...","GIVE ME A FUCKING BREAK...
RUSSIA HAS THREE OR FOUR NEW FIGHTERS ... LITERALLY,  RUSSIA CAN NOT AFFORD THE PRODUCTION PROCESS COSTS FOR A WAR TARGET PRODUCTION LEVEL... THIS VIDEO IS A RUSSIAN BOTT VIDEO...
GET THE HELL OUT OF YOUTUBE.COM YOU FUCKING RUSSIANS...
AMERICA IS WATCHING AND WE WILL DESTROY EVERYTHING THAT TWITCHES OR MOVES...
FIRE AND FURY...",1,"2018-04-14 21:15:49","2018-04-14 21:15:49",0,null
11142,UgzqdBaDpqc6CuTgPw94AaABAg,bt8OMTu1a7Q,"tree frog",UCpYjjwu7yYktMRf9u-VwgZQ,"yeah. thats a real game changer. did they get their parts from china?","yeah. thats a real game changer. did they get their parts from china?",0,"2018-04-14 21:05:00","2018-04-14 21:05:00",0,null
11143,UgzYZsfKul1GVXtriQB4AaABAg,bt8OMTu1a7Q,"Roger Diogo",UCeN9ZB1u6jFtSFHhWa81RNA,"The media here said Trump was bluffing...Trump is not OBAMA, everything else  is fake news...","The media here said Trump was bluffing...Trump is not OBAMA, everything else  is fake news...",0,"2018-04-14 20:06:55","2018-04-15 09:35:28",0,null
11144,UgxnTCNInz2X4aU65IV4AaABAg,bt8OMTu1a7Q,"Shawna Smith",UCIX77DLunw2jZz6fJF_tn-g,"THE WORD IS HYPER SONIC LOOK IT UP FOOLS , RUSSIA NOW HAS THE UPPER HAND, sleep tight.","THE WORD IS HYPER SONIC LOOK IT UP FOOLS , RUSSIA NOW HAS THE UPPER HAND, sleep tight.",0,"2018-04-14 19:55:35","2018-04-14 19:55:35",0,null
