id,comment_id,video_id,commenter_name,commenter_id,comment_displayed,comment_original,likes,published_date,updated_date,total_replies,replyto
5503,UgwIkJnbJNoSsDbOYTN4AaABAg,H9eNHxuaC90,"mrc 75",UCJ3KIq8WKs3FjZUphU6xH6w,"LMFAO@the never-ending circus show. Business as usual folks. Deny, deny, deny. Our archenemies acrossthe pond are playing thy part. Lets just hope that common sense prevails...","LMFAO@the never-ending circus show. Business as usual folks. Deny, deny, deny. Our archenemies acrossthe pond are playing thy part. Lets just hope that common sense prevails...",0,"2018-04-15 23:30:25","2018-04-15 23:30:25",0,null
5504,UgySxMVmiH0rwbc6rSR4AaABAg,H9eNHxuaC90,"Jim Kirk",UCZqBfRe7vI8tkbci70Jm1BQ,"Only the Chinese savages embarrassed themselves by backing Russia at the UN on this. They should have abstained. Putin sure looks like Trumps bitch now after Trump called his bluff for backing a child murdering POS like Assad.","Only the Chinese savages embarrassed themselves by backing Russia at the UN on this. They should have abstained. Putin sure looks like Trumps bitch now after Trump called his bluff for backing a child murdering POS like Assad.",0,"2018-04-15 21:20:51","2018-04-15 21:40:10",0,null
5505,UgwmK_v4B6RSiZZhbFx4AaABAg,H9eNHxuaC90,"Justice and peace",UCJJHKFjTPM6Q21owPaeZxOw,"America #2 is going to drink her own blood. Her tactics is sucidal and you can no longer hide behind democracy! There is 2 Americas!","America #2 is going to drink her own blood. Her tactics is sucidal and you can no longer hide behind democracy! There is 2 Americas!",0,"2018-04-15 21:11:21","2018-04-15 21:11:21",0,null
5506,UgynfK1Y4Va_Adj3jZV4AaABAg,H9eNHxuaC90,"Nirav Kalariya",UC62PzHeFAeCwqMBeJ--1neg,"As long as there are men, there is war","As long as there are men, there is war",2,"2018-04-15 20:42:43","2018-04-15 20:42:43",0,null
5507,Ugx3po43BhRd8E25keZ4AaABAg,H9eNHxuaC90,"BABYLON WILL FALL REVELATION17",UClsvVo9UU2uLZJHh-q4L_vA,"WARNING
THE BIBLE JESUS SPOKE PARABLES, NOT GOD. THE BIBLE IS NOT TO BE READ ALLEGORICALLY!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?????????????????????????????????????????????????????????????????
GOD SAID LET THERE BE WAR IN THE WORD OF GOD AND WAR IT WILL BE SO STOP BEING ARROGANT FUCKS AND PREPARE!!!!!!
EVER SINCE THEY PISSED ME OFF IN THE FALL OF 2012 I GAVE IT TO GOD AND THE FAT BOY FROM NORTH KOREA STARTED GOING APESHIT!!!!!!
HE CALLED ME A WHORE WHEN I KEPT MY LEGS CLOSED FOR YEARS!!!!!  HE WASNT TALKING ABOUT SEX!!!!!!!!  HE TOLD ME I WAS CURSED THE DAY I WAS BORN.  I REPENTED MY ASS OFF, I ACTUALLY WENT ON YOUTUBE EMBARRASSING MYSELF SPREADING HIS WORD LIKE HE TOLD US TO!!!!  PEOPLE HATED MY GUTS ON YOUTUBE FOR SPEAKING THE TRUTH.  I LOVED PEOPLE AND TREATED THEM WITH DIGNITY AND RESPECT AND THIS IS WHAT HE DID TO ME!!!!! HE NEVER FORGAVE ME!!!!  WHAT WAS I SUPPOSED TO DO WHEN HE DIDNT LOVE ME OR HELP ME ANYMORE NO MATTER WHAT I DID. 
MY SON WILL BE 11 YEARS OLD IN 3RD WEEK OF SEPTEMBER 2017 AND MY BABY WILL BE FIVE IN THE 4RTH WEEK OF JULY. MY SONS DAD TOLD ME HE WAS THE DEVIL AND HIS FAVORITE PART IN THE BIBLE WAS IN THE BOOK OF REVELATION 12:12 WHEN THE DEVIL IS CAST DOWN TO EARTH. NO LIE. MY DAUGHTERS DAD CAME TO STEAL KILL AND DESTROY. MY SON HAS AUTISM AND HE CAN HEAR MY THOUGHTS AND SOMETIMES SAY WHAT IM THINKING. MY DAUGHTER GOES NUTS WHEN SOMETHING BAD IS ABOUT TO HAPPEN. I THOUGHT ALL OF THIS IS JUST A COINCIDENCE BUT IT IS STARTING TO HAPPEN AGAIN. BOTH FATHERS EMBARRASSED ME IN FRONT OF PEOPLE. HE COMES AROUND IN THE FIFTH YEAR TO IMPREGNATE ME AND I CAN FEEL IT STARTING TO HAPPEN AGAIN. IM ALWAYS WITHOUT A MAN EVERY YEAR. MEN HAVE NO REGARD FOR ME. THEY ALWAYS COME TO STEAL KILL AND DESTROY. RIGHT NOW I CAN FEEL IT STARTING TO HAPPEN AGAIN AND I CANT CONTROL IT. I DESIRE TO BE WITH SOMEONE. ITS HAPPENNING AGAIN. THIS YEAR IS A VERY IMPORTANT YEAR TO WATCH IN THE SUMMER FALL AND EARLY WINTER BUT THE SEPTEMBER 23RD 2017 CONSTELLATION ALIGNMENYT SAYS 9 MONTHS FROM THEN SAYS SOMETHING WILL BE BIRTHED BY THE END OF JUNE SO THAT’S WHEN WW3 WILL BEGIN? THE DEVIL HAS UNTIL APRIL 2018 TO CENCEIVE THE THIRD CHILD AND SSSSSSSSSSSSSSHHHHHHHHHHHHH……….. .    I HAVE NEVER SERN HIM WORK SO FUCKING HARD TO GET ME LET ALONE GET ME KNOCKED UP. I SPOKE TO A PSYCHIC THE OTHER DAY AND HE SAID THAT THIS GUY AND I HAVE UNFINISHED BUSINESS AND HE WILL RETURN. APRIL 2018 IS THE DEVIL’S LAST MONTH TO HAVE THE THIRD CHILD CONCEIVED AND YES OUT OF ANGER I DID SLAP SO MUCH WITCHCRAFT ON THIS PIECE OF SHIT YOU BETTER BELIEVE THIS PLACE IS TOTALLY FUCKED!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! RUSSIA, NORTH KOREA, IRAN, AND NOW CHINA SITTIN ON THIS PIECE OF SHIT JUST EXACTLY HOW I WANT IT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
MYSTERY BABYLON: I COMITTED FORNICATION AGAINST GOD WITH SOMETHING. WHAT IS IT?     WITCHCRAFT
Ive come to wage war on to world and take away peace from the earth. IM THINKING MAYBE THIS IS JUST A SIGN OF WHATS APPROACHING. SO I ASKED GOD IS THERE ANYTHING I CAN DO TO STOP IT OR ANYTHING THAT HE WANTS ME TO DO ABOUT IT AND HE TOLD ME TO REPENT. HE DIDNT SAY IT CAN BE STOPPED.
THE WAR WILL NOT START UNTIL THE 3RD CHILD IS CONCEIVED!!!
You know when I was 16 years old. I was pissed off at God because he wouldnt give me a number of things. One of them was a boyfriend. I said I bet if I asked the devil the devil will give me what I wanted lickity split! I asked the devil for a boyfriend and described to him how I wanted to look. Right before I turned 17 years old, I felt ready to lose my virginity. After my 17th birthday the first week of March 1999, I met him on March 10th right before I went to an interview. He is know to some of the kids in the neighborhood including my little sister. He worked at the Walmart. 
The devil does not look how people think.

I ASKED GOD IN THE FALL OF 2016 WHY HE DOESNT BLESS ME WITH MARRIAGE NO MATTER WHAT I DO OR DONT DO AND HE HAD THE FUCKING NERVE TO CALL ME THE WHORE OF BABYLON? I WAS THE ONE GOING TO CHURCH WITH GRANDMA WHEN ALL THE OTHER GRANDKIDS STOOD HOME AND SMOKED HAY! I SEEKED HIM AND REPENTED OVER AND OVER LIKE A FUCKING ROBOT! I ABSTAINED FROM SEX FOR YEARS ONLY TO FIND MYSELF GETTING PREGNANT WITH THE DEVILS CHILD IN THE FIFTH YEAR? ALL I WANTED WAS ONE MAN AND THE CHURCH NEW IT WITHOUT ME SAYING IT! GOD SAT ON HIS BIG HOLY ASS AND DIDNT DO SHIT! IVE BEEN PERSECUTED, BULLIED, AND HUMILATED ALL MY LIFE AND GOD DIDNT DO SHIT! I WAS EXPOSED TO WITCHCRAFT BY THE MOST EVIL FAMILY MEMBERS ON THE PLANET!!! THEY ARE TRYING TO CONTROL ME AS I TYPE!!!! BUT I REPENTED AND TURNED AWAY FROM MY WICKED WAYS AND GOD DIDNT GIVE A SHIT!!!
IF I DONT HAVE ANY PEACE NO ONE WILL! I PROMISE!  
AS OF 9/23/2017, THE LORD PUT ME IN CHARGE!!!!!!

The God of the Bible is a God of War. That Bible is a crock of shit it was written for the truly devoted Christians who are so tight like ten toes in a sock with God and Jesus that God favors them and chastises only them when they do wrong and disobey God instead of others just like a parent would chastise their children for disobedience. I am a living witness, I have never gotten my hearts desire keeping my mind on God, talking to God and Jesus, worshipping them, all I got was pissed and shit all over by my enemies and God allowed it and God wont tell you what you need to know he just tells you what he wants you to do so you end up worshipping Him because He is jealous of you consciously or unconsciously worshipping other people. An example Rebecca having to wait until she was old and dusty to give birth while the whole time her handmaids had to have kids for Rebeccas husband just so Rebecca can give birth to two nations Israel and Palestine. WHAT THE FUCK DID MARY GET FOR GIVING BIRTH TO THE SAVIOR? JACOB STILL HAD TO WORK AS A CARPENTER AND MARY WATCHED HER SON GET SLAUGTERED ON A FUCKING TREE WHEN HE WAS 33 YEARS OLD ALL THIS SHE KNEW WAS GOING TO HAPPEN AND HAD TO WAIT ON IT!!!!!! God told me late last year and early this year that he is going to restore all the years the cankerworm and the palmerworm as it says in the Bible He allowed my enemies to steal from me and Im now 35 years old with two autistic kids, never been married, I never have a man ever on Valentines Day or at all I literally dig in my cunt year in and year out, no friends, no fun, no peace of mind, no job for 9 consecutive years, money is jinxed, big jelly Georgia sausage back rolls that won’t move, no neck, big stretch-mark turkey wings and I moles under my eyes since I was 9 years old and my mom who was my number one enemy refused to have them removed when I was young, and after all these years of my cursed money not getting the moles removed at 35 years old this year for the first time my moles are removed. GUESS WHAT? I DONT A FLYING FUCK ABOUT A RESTORING YEARS CANKERWORM AND PALMERFUCKING WORM I WANTED TO HAVE A CAREER, MARRIAGE, NORMAL KIDS AND SO ONE OVER A DECADE AGO!!!    BOTTOM LINE - THAT BIBLE WAS WRITTEN FOR THE REALLY RIGHTEOUS SO-CALLED FAVORED TO SUFFER, BE AFFLICTED, HUMILIATED, TO BE POOR, AND BE TAKEN ADVANTAGE OF BY ENEMIES AND GOD WANTS YOU TO SUCK HIS HOLY COCK AND WORSHIP HIM AND THATS IT. THAT BIBLE IS A CROCK OF SHIT AND THE GOD OF THAT BIBLE IS A HOLY SELFISH JEALOUS PIECE OF SHIT AND THAT IS IT!!!!!!

I AM THE ONE WHO COMMITTED FORNICATION AGAINST GOD AND THE SAME FORNICATION I COMMIT AGAINST THIS WORLD!!!!!!

I CAN ASSURE YOU THAT I AM THE ONE WHO BUSTS A GRAPE AND WILL BRING THIS WORLD TO ITS KNEES!!!!!!???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????","WARNING
THE BIBLE JESUS SPOKE PARABLES, NOT GOD. THE BIBLE IS NOT TO BE READ ALLEGORICALLY!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?????????????????????????????????????????????????????????????????
GOD SAID LET THERE BE WAR IN THE WORD OF GOD AND WAR IT WILL BE SO STOP BEING ARROGANT FUCKS AND PREPARE!!!!!!
EVER SINCE THEY PISSED ME OFF IN THE FALL OF 2012 I GAVE IT TO GOD AND THE FAT BOY FROM NORTH KOREA STARTED GOING APESHIT!!!!!!
HE CALLED ME A WHORE WHEN I KEPT MY LEGS CLOSED FOR YEARS!!!!!  HE WASNT TALKING ABOUT SEX!!!!!!!!  HE TOLD ME I WAS CURSED THE DAY I WAS BORN.  I REPENTED MY ASS OFF, I ACTUALLY WENT ON YOUTUBE EMBARRASSING MYSELF SPREADING HIS WORD LIKE HE TOLD US TO!!!!  PEOPLE HATED MY GUTS ON YOUTUBE FOR SPEAKING THE TRUTH.  I LOVED PEOPLE AND TREATED THEM WITH DIGNITY AND RESPECT AND THIS IS WHAT HE DID TO ME!!!!! HE NEVER FORGAVE ME!!!!  WHAT WAS I SUPPOSED TO DO WHEN HE DIDNT LOVE ME OR HELP ME ANYMORE NO MATTER WHAT I DID. 
MY SON WILL BE 11 YEARS OLD IN 3RD WEEK OF SEPTEMBER 2017 AND MY BABY WILL BE FIVE IN THE 4RTH WEEK OF JULY. MY SONS DAD TOLD ME HE WAS THE DEVIL AND HIS FAVORITE PART IN THE BIBLE WAS IN THE BOOK OF REVELATION 12:12 WHEN THE DEVIL IS CAST DOWN TO EARTH. NO LIE. MY DAUGHTERS DAD CAME TO STEAL KILL AND DESTROY. MY SON HAS AUTISM AND HE CAN HEAR MY THOUGHTS AND SOMETIMES SAY WHAT IM THINKING. MY DAUGHTER GOES NUTS WHEN SOMETHING BAD IS ABOUT TO HAPPEN. I THOUGHT ALL OF THIS IS JUST A COINCIDENCE BUT IT IS STARTING TO HAPPEN AGAIN. BOTH FATHERS EMBARRASSED ME IN FRONT OF PEOPLE. HE COMES AROUND IN THE FIFTH YEAR TO IMPREGNATE ME AND I CAN FEEL IT STARTING TO HAPPEN AGAIN. IM ALWAYS WITHOUT A MAN EVERY YEAR. MEN HAVE NO REGARD FOR ME. THEY ALWAYS COME TO STEAL KILL AND DESTROY. RIGHT NOW I CAN FEEL IT STARTING TO HAPPEN AGAIN AND I CANT CONTROL IT. I DESIRE TO BE WITH SOMEONE. ITS HAPPENNING AGAIN. THIS YEAR IS A VERY IMPORTANT YEAR TO WATCH IN THE SUMMER FALL AND EARLY WINTER BUT THE SEPTEMBER 23RD 2017 CONSTELLATION ALIGNMENYT SAYS 9 MONTHS FROM THEN SAYS SOMETHING WILL BE BIRTHED BY THE END OF JUNE SO THAT’S WHEN WW3 WILL BEGIN? THE DEVIL HAS UNTIL APRIL 2018 TO CENCEIVE THE THIRD CHILD AND SSSSSSSSSSSSSSHHHHHHHHHHHHH……….. .    I HAVE NEVER SERN HIM WORK SO FUCKING HARD TO GET ME LET ALONE GET ME KNOCKED UP. I SPOKE TO A PSYCHIC THE OTHER DAY AND HE SAID THAT THIS GUY AND I HAVE UNFINISHED BUSINESS AND HE WILL RETURN. APRIL 2018 IS THE DEVIL’S LAST MONTH TO HAVE THE THIRD CHILD CONCEIVED AND YES OUT OF ANGER I DID SLAP SO MUCH WITCHCRAFT ON THIS PIECE OF SHIT YOU BETTER BELIEVE THIS PLACE IS TOTALLY FUCKED!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! RUSSIA, NORTH KOREA, IRAN, AND NOW CHINA SITTIN ON THIS PIECE OF SHIT JUST EXACTLY HOW I WANT IT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
MYSTERY BABYLON: I COMITTED FORNICATION AGAINST GOD WITH SOMETHING. WHAT IS IT?     WITCHCRAFT
Ive come to wage war on to world and take away peace from the earth. IM THINKING MAYBE THIS IS JUST A SIGN OF WHATS APPROACHING. SO I ASKED GOD IS THERE ANYTHING I CAN DO TO STOP IT OR ANYTHING THAT HE WANTS ME TO DO ABOUT IT AND HE TOLD ME TO REPENT. HE DIDNT SAY IT CAN BE STOPPED.
THE WAR WILL NOT START UNTIL THE 3RD CHILD IS CONCEIVED!!!
You know when I was 16 years old. I was pissed off at God because he wouldnt give me a number of things. One of them was a boyfriend. I said I bet if I asked the devil the devil will give me what I wanted lickity split! I asked the devil for a boyfriend and described to him how I wanted to look. Right before I turned 17 years old, I felt ready to lose my virginity. After my 17th birthday the first week of March 1999, I met him on March 10th right before I went to an interview. He is know to some of the kids in the neighborhood including my little sister. He worked at the Walmart. 
The devil does not look how people think.

I ASKED GOD IN THE FALL OF 2016 WHY HE DOESNT BLESS ME WITH MARRIAGE NO MATTER WHAT I DO OR DONT DO AND HE HAD THE FUCKING NERVE TO CALL ME THE WHORE OF BABYLON? I WAS THE ONE GOING TO CHURCH WITH GRANDMA WHEN ALL THE OTHER GRANDKIDS STOOD HOME AND SMOKED HAY! I SEEKED HIM AND REPENTED OVER AND OVER LIKE A FUCKING ROBOT! I ABSTAINED FROM SEX FOR YEARS ONLY TO FIND MYSELF GETTING PREGNANT WITH THE DEVILS CHILD IN THE FIFTH YEAR? ALL I WANTED WAS ONE MAN AND THE CHURCH NEW IT WITHOUT ME SAYING IT! GOD SAT ON HIS BIG HOLY ASS AND DIDNT DO SHIT! IVE BEEN PERSECUTED, BULLIED, AND HUMILATED ALL MY LIFE AND GOD DIDNT DO SHIT! I WAS EXPOSED TO WITCHCRAFT BY THE MOST EVIL FAMILY MEMBERS ON THE PLANET!!! THEY ARE TRYING TO CONTROL ME AS I TYPE!!!! BUT I REPENTED AND TURNED AWAY FROM MY WICKED WAYS AND GOD DIDNT GIVE A SHIT!!!
IF I DONT HAVE ANY PEACE NO ONE WILL! I PROMISE!  
AS OF 9/23/2017, THE LORD PUT ME IN CHARGE!!!!!!

The God of the Bible is a God of War. That Bible is a crock of shit it was written for the truly devoted Christians who are so tight like ten toes in a sock with God and Jesus that God favors them and chastises only them when they do wrong and disobey God instead of others just like a parent would chastise their children for disobedience. I am a living witness, I have never gotten my hearts desire keeping my mind on God, talking to God and Jesus, worshipping them, all I got was pissed and shit all over by my enemies and God allowed it and God wont tell you what you need to know he just tells you what he wants you to do so you end up worshipping Him because He is jealous of you consciously or unconsciously worshipping other people. An example Rebecca having to wait until she was old and dusty to give birth while the whole time her handmaids had to have kids for Rebeccas husband just so Rebecca can give birth to two nations Israel and Palestine. WHAT THE FUCK DID MARY GET FOR GIVING BIRTH TO THE SAVIOR? JACOB STILL HAD TO WORK AS A CARPENTER AND MARY WATCHED HER SON GET SLAUGTERED ON A FUCKING TREE WHEN HE WAS 33 YEARS OLD ALL THIS SHE KNEW WAS GOING TO HAPPEN AND HAD TO WAIT ON IT!!!!!! God told me late last year and early this year that he is going to restore all the years the cankerworm and the palmerworm as it says in the Bible He allowed my enemies to steal from me and Im now 35 years old with two autistic kids, never been married, I never have a man ever on Valentines Day or at all I literally dig in my cunt year in and year out, no friends, no fun, no peace of mind, no job for 9 consecutive years, money is jinxed, big jelly Georgia sausage back rolls that won’t move, no neck, big stretch-mark turkey wings and I moles under my eyes since I was 9 years old and my mom who was my number one enemy refused to have them removed when I was young, and after all these years of my cursed money not getting the moles removed at 35 years old this year for the first time my moles are removed. GUESS WHAT? I DONT A FLYING FUCK ABOUT A RESTORING YEARS CANKERWORM AND PALMERFUCKING WORM I WANTED TO HAVE A CAREER, MARRIAGE, NORMAL KIDS AND SO ONE OVER A DECADE AGO!!!    BOTTOM LINE - THAT BIBLE WAS WRITTEN FOR THE REALLY RIGHTEOUS SO-CALLED FAVORED TO SUFFER, BE AFFLICTED, HUMILIATED, TO BE POOR, AND BE TAKEN ADVANTAGE OF BY ENEMIES AND GOD WANTS YOU TO SUCK HIS HOLY COCK AND WORSHIP HIM AND THATS IT. THAT BIBLE IS A CROCK OF SHIT AND THE GOD OF THAT BIBLE IS A HOLY SELFISH JEALOUS PIECE OF SHIT AND THAT IS IT!!!!!!

I AM THE ONE WHO COMMITTED FORNICATION AGAINST GOD AND THE SAME FORNICATION I COMMIT AGAINST THIS WORLD!!!!!!

I CAN ASSURE YOU THAT I AM THE ONE WHO BUSTS A GRAPE AND WILL BRING THIS WORLD TO ITS KNEES!!!!!!???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????",0,"2018-04-15 19:54:52","2018-04-15 19:54:52",0,null
5508,UgzLpeS3ENVdxr9KPa14AaABAg,H9eNHxuaC90,"DoNot GoGently",UCnEMwhKMP0zZFi1BNrXOOIw,"Russia said if Syria was attacked by Western Powers, they would retaliate. Russia knows that if they retaliate, they arent dicking around, they are gonna make a statement, and with the kinds of weapons they have, they could end the war before it starts.","Russia said if Syria was attacked by Western Powers, they would retaliate. Russia knows that if they retaliate, they arent dicking around, they are gonna make a statement, and with the kinds of weapons they have, they could end the war before it starts.",0,"2018-04-15 18:31:30","2018-04-15 18:31:30",0,null
5509,UgzZmIKB-3DzjSWhTxl4AaABAg,H9eNHxuaC90,"Jeff Mcglone",UCfzNjQohOzX4Lzru_oD5gjg,"Who cares what their opinion is about!! United states made russia looks like a bitch!!!","Who cares what their opinion is about!! United states made russia looks like a bitch!!!",0,"2018-04-15 18:10:15","2018-04-15 18:11:42",0,null
5510,UgxI_TVmjUpo5Bc60lV4AaABAg,H9eNHxuaC90,"Mohd Azam Abdullah",UCFXUVa4jhcgHgH2Aw465Cog,"Sir please dont waste your time sxplaining o hose fools.the, wont liszen.since RUSSIA is the strongest in the world just each them properly with what best you have in stocks.they are a bunch of bankrupt people.","Sir please dont waste your time sxplaining o hose fools.the, wont liszen.since RUSSIA is the strongest in the world just each them properly with what best you have in stocks.they are a bunch of bankrupt people.",0,"2018-04-15 17:23:21","2018-04-15 17:23:21",0,null
5511,UgzTWOabeqKyCkgZ4BJ4AaABAg,H9eNHxuaC90,"Argiris Milonas",UCPXu3VcZ2FmCbAqX6_BaCEg,"For the people that have knowleage on the matter:A fake attact,were are the antiradar missiles?why syrrians shot down missiles and guided bombs and not the airplanes who shot them?","For the people that have knowleage on the matter:A fake attact,were are the antiradar missiles?why syrrians shot down missiles and guided bombs and not the airplanes who shot them?",0,"2018-04-15 17:22:25","2018-04-15 17:22:25",0,null
5512,Ugx6SrJ8875cXMe1gVF4AaABAg,H9eNHxuaC90,"Waseem Amin",UCWGU1CgUGX7CXr08VdCQmEg,"We. need to have it that if they wanna fight they go some were else away from everyone else. and fight amoght themself like the pycos they are. dont buy into this bulshit. yet another false flag. assad was and has won. there would be no need for him to do such  a thing no proof. just pure propaganda","We. need to have it that if they wanna fight they go some were else away from everyone else. and fight amoght themself like the pycos they are. dont buy into this bulshit. yet another false flag. assad was and has won. there would be no need for him to do such  a thing no proof. just pure propaganda",0,"2018-04-15 16:55:39","2018-04-15 16:55:39",0,null
5513,Ugx63hrsoYg-kUtZDep4AaABAg,H9eNHxuaC90,"juergen dengel",UCmDCdZtYhjZo_M8vMHE7y_g,"the only reason why there are no mushroom clouds over these countries is because the russians are by far more intelligent and they know that the current leaders in the west are some kind of tragic irony , as well as an unfortunate alignment of the worst characters possible to get into these positions.. acting even against the mainstream of their countries  .. its just mindboggling how stupid they are.. in the true sense of the meaning... its definitly a total lack of the most basic intelligence...how did they come to power...? I cant stop wondering...","the only reason why there are no mushroom clouds over these countries is because the russians are by far more intelligent and they know that the current leaders in the west are some kind of tragic irony , as well as an unfortunate alignment of the worst characters possible to get into these positions.. acting even against the mainstream of their countries  .. its just mindboggling how stupid they are.. in the true sense of the meaning... its definitly a total lack of the most basic intelligence...how did they come to power...? I cant stop wondering...",0,"2018-04-15 16:09:26","2018-04-15 16:09:26",0,null
5514,UgxuB8TL3zPkQzWbBTZ4AaABAg,H9eNHxuaC90,"Crazy Horse",UCCQhVOMkLwaBS1tcZ3IwKmA,"You got bitch slapped comrad...deal with it.
Dont fuck with America!","You got bitch slapped comrad...deal with it.
Dont fuck with America!",0,"2018-04-15 15:53:18","2018-04-15 15:53:18",0,null
5515,UgwEkgyq80B05sjrsjV4AaABAg,H9eNHxuaC90,"Jeremy Frazier",UCImallt8a8Q8sOqh4kgBCRg,"All the other nations need to know is that the America people have no say in these missle attacks.  Our government has been lieing to us and doing whatever they want. I dont like our deep state lieing bobbleheads!  They are the ones that need removed.  So what I am saying to Russia and others is strategically take them out, not the average American society","All the other nations need to know is that the America people have no say in these missle attacks.  Our government has been lieing to us and doing whatever they want. I dont like our deep state lieing bobbleheads!  They are the ones that need removed.  So what I am saying to Russia and others is strategically take them out, not the average American society",0,"2018-04-15 15:01:28","2018-04-15 15:01:28",0,null
5516,UgyQBNcy17cLwMDbI-14AaABAg,H9eNHxuaC90,"Everitt Ricky",UCSaRpaql0RN45nbIHHgmMrw,"What hurts me most is that millions of Americans, British, Russians and Chinese 
Have nothing against the other, why would we all? No reason.
But the 1% of the elites who hate all of us, decide they want to tell us all that our way of life is being threatened by them, completely unaccepactable. Following bible prophocey is wrong and dangerous.
Shame we cant as a public, people sack the leaders of these countries for failing to keep us all safe and living in peace which is what 99% of the worlds population want.","What hurts me most is that millions of Americans, British, Russians and Chinese 
Have nothing against the other, why would we all? No reason.
But the 1% of the elites who hate all of us, decide they want to tell us all that our way of life is being threatened by them, completely unaccepactable. Following bible prophocey is wrong and dangerous.
Shame we cant as a public, people sack the leaders of these countries for failing to keep us all safe and living in peace which is what 99% of the worlds population want.",0,"2018-04-15 14:54:32","2018-04-15 14:54:32",0,null
5517,UgwvLeB7bhC9NJM7JFV4AaABAg,H9eNHxuaC90,"Joseph B",UCVtz4HXEUP-Xt7qAUyaH7dg,"Here comes the son do da lou do here comes the son an l say its alright...........","Here comes the son do da lou do here comes the son an l say its alright...........",0,"2018-04-15 14:53:16","2018-04-15 14:53:16",0,null
5518,UgzBeZCPFBQ6F5ueOM54AaABAg,H9eNHxuaC90,"Kostas K",UCFV_7RRqOMW0ZQvasu-XDUA,"If it wasnt for the sense and maturity of the Russian government right now we would be hiding in our basements. Know once and for all, our planet is run by evil lying psychopaths who work exclusively on their goal to instal  a global dictatorship and they will stop at nothing, unless we the people get really pissed. Personally I am.","If it wasnt for the sense and maturity of the Russian government right now we would be hiding in our basements. Know once and for all, our planet is run by evil lying psychopaths who work exclusively on their goal to instal  a global dictatorship and they will stop at nothing, unless we the people get really pissed. Personally I am.",0,"2018-04-15 14:26:04","2018-04-15 14:26:04",0,null
5519,UgyXiUhAm5PJvkT9IRV4AaABAg,H9eNHxuaC90,"Lisa Vaughn",UCkBhbeNsQZadpw01s96zyZA,"Look at this.  a bunch people hating on the United States For this strike. You want to talk a bout a show of power .....the united states of America is the most technologically  advance War machine on the planet.  We are the hammer and we will not stand for acts of crime against humanity. We are the lock the key and the gate and dont forget it. .......","Look at this.  a bunch people hating on the United States For this strike. You want to talk a bout a show of power .....the united states of America is the most technologically  advance War machine on the planet.  We are the hammer and we will not stand for acts of crime against humanity. We are the lock the key and the gate and dont forget it. .......",0,"2018-04-15 13:52:52","2018-04-15 13:52:52",0,null
5520,UgyCrkIDm2TqTbf6bZ14AaABAg,H9eNHxuaC90,"Jimmy Kiri",UCut_N-w9XJUpVb2bgpV4pwg,"Russia always support dictator and never respect democracy .","Russia always support dictator and never respect democracy .",0,"2018-04-15 12:37:21","2018-04-15 12:37:21",0,null
5521,Ugz0s9lH8on6jmcy1Ml4AaABAg,H9eNHxuaC90,"Dunja I",UCNKcgpxpTReEY7-cMj5TA2g,"I must tell u one story about US army general who visit air museum in Belgrade Serbia where is US army F 117 stealth shoot down and many f 16, f 18, all kind spy drones and tomahawks..When the American general asked our curator at the museum where the F 117 are exposed, how is it to fight against the strongest army in the world, our curator from the above mentioned museum said: I DO NOT KNOW WE NEVER FIGHT AGAINST RUSSIA !!!..ahahhahah","I must tell u one story about US army general who visit air museum in Belgrade Serbia where is US army F 117 stealth shoot down and many f 16, f 18, all kind spy drones and tomahawks..When the American general asked our curator at the museum where the F 117 are exposed, how is it to fight against the strongest army in the world, our curator from the above mentioned museum said: I DO NOT KNOW WE NEVER FIGHT AGAINST RUSSIA !!!..ahahhahah",0,"2018-04-15 11:47:18","2018-04-15 11:47:18",0,null
5522,Ugy7MpoogiocrAMEvtR4AaABAg,H9eNHxuaC90,"Jinn Mallik",UCkIYpaWaHoQGfOA0FxoqjlQ,"What went wrong wheres your satan 2 that one the fucking Demon, the New Russia Trump took a piss all over Putins Bravado and not heard from the peacock since

No reaction at all not even a attempt to target a US asset of any kind, nothings changed only proved what we already knew the Old Russia got no bollocks

Do what Putins done, just disappear, a fucking shame for a moment played the mind thought Putin come for real, the U S just took back control....","What went wrong wheres your satan 2 that one the fucking Demon, the New Russia Trump took a piss all over Putins Bravado and not heard from the peacock since

No reaction at all not even a attempt to target a US asset of any kind, nothings changed only proved what we already knew the Old Russia got no bollocks

Do what Putins done, just disappear, a fucking shame for a moment played the mind thought Putin come for real, the U S just took back control....",0,"2018-04-15 11:40:20","2018-04-15 11:44:06",0,null
